Year,Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
1997,80.779682,6.596992,4.463375,91.956252
1998,81.272862,7.067809,4.172699,92.601594
1999,82.321598,7.610256,4.20076,94.231538
2000,84.620442,7.862349,4.095599,96.69359
2001,82.799758,8.028853,3.511945,94.415713
2002,83.59225,8.145429,3.766156,95.575431
2003,83.909087,7.959622,3.915879,95.806493
2004,85.666271,8.222774,4.105527,98.033168
2005,85.622667,8.16081,4.232904,98.100924
2006,84.477197,8.214626,4.480272,97.234944
2007,85.805032,8.458589,4.594859,98.965112
2008,83.040546,8.426491,5.067705,96.646728
2009,77.862484,8.35522,5.292537,91.626429
2010,80.723061,8.434433,5.895677,95.141804
2011,79.262601,8.268698,6.308059,93.966459
2012,77.303882,8.061822,6.150362,91.677322
2013,79.22427,8.244433,6.587023,94.253199
2014,80.016732,8.337559,6.796126,95.331976
2015,79.090311,8.336886,6.823074,94.477752
2016,78.31902,8.426753,7.109644,94.082323
2017,77.907116,8.418968,7.373411,93.891639
2018,81.280532,8.438068,7.524491,97.394776
2019,80.424546,8.451852,7.583746,96.593364
2020,73.168689,8.251075,7.290491,88.871691
2021,77.45362,8.130913,7.634165,93.352829
2022,78.529364,8.06102,8.080907,94.811907
