Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,501214.2,8.27,918759,683068,1629742,914027,4145594
1998,518604.0,7.84,864613,666273,1603687,930740,4065311
1999,530745.6,7.95,927587,691039,1641694,958094,4218414
2000,541005.9,7.87,945913,720882,1607933,984879,4259607
2001,534612.4,7.48,900901,687127,1433659,977988,3999673
2002,546688.2,7.21,950940,685145,1318380,984700,3939169
2003,557024.5,7.19,969963,708894,1335929,992410,4007193
2004,572308.5,7.06,964465,721861,1339089,1014201,4039620
2005,584867.7,6.96,1001778,725735,1329632,1012495,4069639
2006,582637.6,6.71,906816,686693,1297144,1021246,3911900
2007,585403.0,6.9,965166,719116,1325322,1028491,4038092
2008,580389.0,6.87,962625,719684,1322123,983234,3987663
2009,550982.4,6.63,926273,694530,1108424,923409,3652043
2010,563816.3,6.69,950625,704321,1224151,895326,3774159
2011,580251.4,6.43,930135,703092,1211872,883519,3729324
2012,586540.9,6.1,850834,664809,1207740,856481,3580259
2013,603057.4,6.06,902406,685355,1197613,871607,3656511
2014,624973.4,6.02,939179,702886,1227527,891952,3760799
2015,633274.8,5.77,877521,693819,1194717,893103,3657040
2016,638157.5,5.66,852188,683110,1186701,888724,3608907
2017,652187.5,5.45,818494,663229,1178161,896902,3554293
2018,656212.0,5.63,901351,685362,1208423,902550,3695424
2019,674123.4,5.3,855293,659745,1166919,896546,3575063
2020,654586.3,5.1,822832,613932,1086836,817630,3339294
2021,686206.4,5.07,828133,635293,1145085,875031,3482112
2022,689681.3,5.08,844495,651431,1136821,871779,3503212
