Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,30144.8,10.87,58088,45170,125284,99053,327595
1998,31456.1,11.18,55896,45697,150454,99527,351575
1999,31633.4,11.19,54008,41070,154821,103986,353885
2000,32513.7,11.44,61055,51855,153298,105831,372039
2001,32689.6,10.25,62167,54705,110747,107460,335079
2002,33663.8,10.31,61989,54094,123298,107757,347138
2003,35249.5,9.92,65951,59182,121658,102751,349542
2004,36949.9,10.06,67184,58599,135229,110574,371586
2005,38849.0,10.03,72278,59828,139860,117881,389847
2006,40055.0,10.13,72007,60797,152112,120853,405769
2007,42057.7,10.32,74844,59415,172811,126822,433892
2008,42049.3,9.97,79387,61157,160969,117753,419266
2009,40938.4,9.51,75794,67258,134487,112336,389414
2010,42469.8,8.78,73498,64344,118512,116888,372927
2011,43532.2,8.31,72147,63310,109088,117870,361615
2012,44329.1,8.04,66698,60954,114618,114944,356430
2013,45114.7,8.15,71990,63943,115962,117400,367737
2014,46166.7,7.86,72781,64020,114672,112793,362902
2015,47765.6,7.68,77169,64259,115754,111062,366903
2016,47189.6,7.78,76029,65548,111762,115793,367223
2017,48470.5,7.84,80998,67377,115980,117678,380136
2018,49455.0,7.92,85323,71211,118574,118314,391715
2019,50318.9,8.03,91791,74022,123739,116283,404242
2020,50159.6,7.47,79197,66104,114608,116901,374912
2021,52952.0,7.26,82173,68945,115918,118281,384556
2022,53983.4,7.32,90798,72124,117559,115553,395289
