Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,281522.2,5.64,251618,181798,516234,638399,1588049
1998,299817.0,5.63,267767,199173,616976,603293,1687210
1999,322721.6,5.28,273136,200203,614682,614612,1702632
2000,325857.6,5.23,301027,229046,546496,626321,1702888
2001,317860.6,5.18,355465,269766,423420,599230,1647881
2002,321977.1,4.47,298803,215338,341983,583758,1439882
2003,327645.2,4.44,295140,222811,352652,585003,1455606
2004,335449.3,4.49,304211,227177,371420,603864,1506672
2005,358396.3,4.27,292623,223483,402936,612861,1531903
2006,372145.0,4.23,289468,219418,435652,628971,1573511
2007,394221.9,4.01,295134,222799,396380,667337,1581650
2008,401093.2,3.91,312734,235475,411129,607166,1566505
2009,390814.0,3.96,318788,232848,400620,597403,1549367
2010,403471.3,3.83,312258,234333,441934,555394,1543885
2011,411575.7,3.59,289208,206566,412466,570235,1478988
2012,426447.0,3.49,279097,209823,426147,571846,1487210
2013,439472.2,3.53,306565,228256,431807,585084,1550302
2014,456186.5,3.35,299307,226096,431992,572866,1528965
2015,476715.4,3.28,287206,228389,436191,611899,1562109
2016,495724.9,3.29,292743,228352,434763,680480,1633128
2017,527169.4,3.1,325246,236094,418186,656291,1633031
2018,561785.7,2.89,311444,237541,421860,656479,1625145
2019,588930.4,2.89,344793,249127,431420,677139,1700562
2020,590401.0,2.42,311529,222258,390262,506656,1428797
2021,630819.8,2.43,319664,230147,383232,603272,1535333
2022,641143.6,2.45,334625,240510,376242,621062,1571449
