Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,27116.2,7.53,44193,29078,53573,77445,204290
1998,28772.1,7.17,43405,30619,52365,79996,206384
1999,30038.3,7.06,41973,29936,56972,83197,212078
2000,32124.9,7.05,46738,33890,61041,84690,226359
2001,32396.9,7.15,53037,43330,52052,83083,231501
2002,35776.0,6.84,52649,42911,58450,90621,244630
2003,36141.9,6.91,53726,44592,66220,85133,249671
2004,37616.6,6.99,53464,45573,77383,86438,262858
2005,39330.6,7.21,57088,50362,87662,88269,283382
2006,39961.6,7.17,55445,49274,93590,88259,286567
2007,41646.2,7.41,59215,52612,104837,92108,308772
2008,43278.5,7.65,63664,54127,125926,87283,331000
2009,44255.8,7.47,59024,49961,132006,89562,330525
2010,44810.7,7.46,54153,46464,139650,94193,334461
2011,47630.3,6.7,47926,39965,137037,94097,319267
2012,48653.9,6.66,45667,41226,138535,98572,324141
2013,48610.1,7.14,56203,48548,146153,96126,347166
2014,49640.9,6.94,53968,46122,145377,99018,344497
2015,50860.8,6.77,49223,45305,148428,101321,344098
2016,51264.3,6.58,47137,42769,146785,100623,337231
2017,51615.1,6.67,48134,44168,152282,99896,344250
2018,51937.8,6.81,52864,45436,154652,101053,353791
2019,52360.1,6.7,52596,44603,153829,100104,350750
2020,52692.1,6.43,46177,40309,155019,97347,338809
2021,55140.4,6.31,44139,38781,162752,102514,348022
2022,54959.3,6.52,48959,41749,165837,101986,358362
