Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,860046.9,13.92,1314774,1127127,7127897,2402607,11972410
1998,920059.6,13.21,1384828,1156597,7086009,2524138,12151583
1999,957247.2,12.3,1357678,1182897,6728541,2509764,11778877
2000,989904.9,12.26,1460523,1278282,6831205,2563154,12133169
2001,1020517.0,11.69,1450183,1245714,6556603,2674516,11927024
2002,1042584.4,11.72,1513718,1260046,6674275,2768698,12216724
2003,1052132.3,11.41,1464987,1221099,6650843,2669824,12006762
2004,1111189.1,10.84,1417546,1197638,6734276,2698058,12047526
2005,1143413.1,10.06,1478243,1279109,6024833,2722989,11505184
2006,1225147.3,9.49,1444532,1259668,6072814,2855197,11632201
2007,1288828.7,9.09,1524245,1316185,5985493,2885457,11711373
2008,1287191.5,8.66,1542723,1351178,5457708,2801426,11153042
2009,1285560.2,8.36,1538419,1395960,5123172,2690582,10745617
2010,1323059.1,8.63,1618905,1418562,5723219,2664201,11423420
2011,1370174.9,8.49,1669597,1487982,5783197,2687682,11627656
2012,1438354.4,8.1,1525164,1483043,5950681,2697182,11657497
2013,1511806.5,8.2,1598113,1526595,6316747,2954364,12398030
2014,1559636.1,7.93,1615751,1547491,6261756,2938494,12360173
2015,1634127.1,7.64,1586838,1493349,6405186,2993959,12477122
2016,1633863.3,7.73,1528503,1484205,6527547,3087828,12630351
2017,1667313.0,7.64,1487623,1455587,6680183,3116611,12738502
2018,1746543.3,7.75,1607163,1501830,7202384,3228239,13544283
2019,1802912.8,7.61,1583306,1460767,7337070,3341678,13724994
2020,1772185.6,7.32,1531772,1438183,7155412,2849591,12974842
2021,1873473.4,7.32,1508714,1461838,7572439,3173982,13712230
2022,1924007.5,7.16,1633356,1546129,7338452,3268785,13780584
