Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,454064.1,5.45,550146,538227,547332,837040,2472747
1998,461237.3,5.31,532411,536619,532180,849859,2451070
1999,477827.9,5.36,567201,579961,565360,848821,2561343
2000,503901.5,4.92,582731,578511,410539,905840,2477618
2001,509631.5,4.81,575601,554459,441138,881394,2452594
2002,517752.2,4.79,591176,576134,423749,888634,2479694
2003,529815.9,4.73,639805,604240,394175,869493,2507713
2004,536174.0,4.76,634057,631593,384716,901066,2551434
2005,546357.8,4.85,636062,648416,388809,974185,2647470
2006,555211.0,4.56,573535,616042,363557,977661,2530794
2007,560823.8,4.73,614709,646384,365314,1028077,2654485
2008,573202.7,4.5,598698,633117,315108,1034389,2581312
2009,546362.2,4.32,586415,627353,262023,885500,2360295
2010,554764.4,4.1,593651,626137,270220,787409,2276677
2011,548479.3,4.12,569610,625516,275368,790271,2258769
2012,560729.7,3.84,533050,594752,273256,753310,2152459
2013,570952.4,3.85,575880,594817,269317,757961,2195755
2014,570696.4,3.87,589360,618691,257769,746041,2209639
2015,581414.9,3.72,576590,585361,261464,742833,2164218
2016,587049.7,3.61,533122,558812,257412,775026,2121986
2017,590086.7,3.51,528924,549325,253901,738957,2069559
2018,606892.2,3.57,576959,571818,259751,763220,2168871
2019,617110.7,3.36,552749,544690,258978,718335,2071786
2020,595973.4,3.11,543039,502301,235496,575798,1853593
2021,629011.3,3.11,562563,528858,239715,627880,1957636
2022,646731.3,3.11,566828,545683,258076,645249,2014378
