Year,Real GDP,Energy consumption per real GDP,Residential sector,Commercial sector,Industrial sector,Transportation sector,Total consumption
1997,423459.8,7.31,781666,596002,933602,782989,3094258
1998,431274.3,7.06,736163,593145,913496,801137,3043942
1999,457637.6,7.01,780797,614988,975815,837783,3209383
2000,467654.4,6.87,804069,636613,954987,815945,3211610
2001,453301.5,6.82,810739,608678,870281,802851,3092552
2002,465788.4,6.76,858254,625634,840179,824676,3148741
2003,477085.4,6.68,870157,614931,906208,795746,3187041
2004,485082.7,6.5,832732,646378,868138,805719,3152968
2005,493796.3,6.49,877245,655456,868194,803041,3203933
2006,483763.6,6.27,787361,625907,821592,798193,3033055
2007,482935.1,6.24,810711,639700,774029,789282,3013720
2008,455256.7,6.38,804655,629827,730794,740516,2905791
2009,416297.1,6.44,751885,597615,606972,723131,2679276
2010,441271.5,6.29,748224,589937,690469,745590,2774075
2011,453989.1,6.19,759404,605943,712185,733002,2810947
2012,463302.6,5.83,696038,574782,710243,721818,2703005
2013,472779.9,6.01,763438,591320,734790,753202,2842451
2014,479534.9,6.01,777658,612438,745402,744611,2879614
2015,490618.7,5.69,730993,587681,707630,766505,2791626
2016,500159.5,5.54,720038,583134,692896,775631,2770634
2017,505101.5,5.46,712366,584665,699600,764210,2759482
2018,516843.0,5.56,775762,605571,705573,787570,2872953
2019,517845.2,5.49,771464,598240,694341,778764,2840907
2020,502483.7,5.1,747393,554714,608887,651009,2560869
2021,531500.0,4.99,733088,568372,644941,709195,2654818
2022,539898.2,5.01,753854,579018,664021,710754,2706841
